,method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,data,resource,end_time,cycle_time
0,RLRAM,1,0,7.177646935478553,p_1,0.5,START,0,a_start,"{'priority': 'a_17', 'priority2': 'a_18', 'department': 'a_1', 'or_sub_2': 'a_22', 'request_type': 'a_13', 'loop1': 'a_3', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'a_19_1', 'escalation_level': 'e_2', 'quality_flag': 'q_2', 'report_needed': 'r_skip'}",,,
1,RLRAM,1,0,7.177646935478553,p_1,0.5,running,0,a_1,,int1,8.178606816216123,
2,RLRAM,1,0,8.062726988512775,p_1,0.5,START,1,a_start,"{'priority': 'a_4', 'priority2': 'a_18', 'department': 'a_1', 'or_sub_2': 'a_5', 'request_type': 'a_12', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_12', 'or_sub_3': 'a_12_2', 'post_processing': 'a_19_1', 'escalation_level': 'e_3', 'quality_flag': 'q_2', 'report_needed': 'r_1'}",,,
3,RLRAM,1,0,8.178606816216123,p_1,0.5,gateway,0,XOR_1,"{'priority': 'a_17', 'priority2': 'a_18', 'department': 'a_1', 'or_sub_2': 'a_22', 'request_type': 'a_13', 'loop1': 'a_3', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'a_19_1', 'escalation_level': 'e_2', 'quality_flag': 'q_2', 'report_needed': 'r_skip'}",,,
4,RLRAM,1,0,8.178606816216123,p_1,0.5,running,1,a_1,,int1,9.702007417701486,
5,RLRAM,1,0,8.178606816216123,p_1,0.5,running,0,a_4,,int3,9.788184590177867,
6,RLRAM,1,0,8.84127568312025,p_1,0.5,START,2,a_start,"{'priority': 'a_17', 'priority2': 'a_18', 'department': 'a_1', 'or_sub_2': 'a_18', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'a_19_2', 'escalation_level': 'e_1', 'quality_flag': 'q_2', 'report_needed': 'r_1'}",,,
7,RLRAM,1,0,9.702007417701486,p_1,0.5,gateway,1,XOR_1,"{'priority': 'a_4', 'priority2': 'a_18', 'department': 'a_1', 'or_sub_2': 'a_5', 'request_type': 'a_12', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_12', 'or_sub_3': 'a_12_2', 'post_processing': 'a_19_1', 'escalation_level': 'e_3', 'quality_flag': 'q_2', 'report_needed': 'r_1'}",,,
8,RLRAM,1,0,9.702007417701486,p_1,0.5,running,2,a_1,,int1,12.0032542223342,
9,RLRAM,1,0,9.788184590177867,p_1,0.5,running,0,a_7,,int6,13.057943860550195,
10,RLRAM,1,0,10.426427947997196,p_1,0.5,START,3,a_start,"{'priority': 'a_3', 'priority2': 'a_18', 'department': 'a_1', 'or_sub_2': 'a_22', 'request_type': 'a_12', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'a_19_1', 'escalation_level': 'e_3', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
