,method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,data,resource,end_time,cycle_time
0,RLRAM,2,0,1.3308678724047742,p_2,0.5,START,0,b_start,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'b_13', 'needs_review': 'b_12', 'review': 'p2_END'}",,,
1,RLRAM,2,0,1.3308678724047742,p_2,0.5,running,0,b_1,,int1,4.776316725178874,
2,RLRAM,2,0,4.776316725178874,p_2,0.5,gateway,0,XOR_b1,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'b_13', 'needs_review': 'b_12', 'review': 'p2_END'}",,,
3,RLRAM,2,0,4.776316725178874,p_2,0.5,running,0,b_2,,int2,8.236334129722222,
4,RLRAM,2,0,4.96629589378498,p_1,0.5,START,1,a_start,"{'priority': 'a_3', 'priority2': 'a_18', 'department': 'a_10', 'or_sub_2': 'a_5', 'request_type': 'a_12', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_12', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_3', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
5,RLRAM,2,0,4.96629589378498,p_1,0.5,running,1,a_1,,int1,6.745277050878396,
6,RLRAM,2,0,5.164434694107843,p_1,0.5,START,2,a_start,"{'priority': 'a_17', 'priority2': 'a_18', 'department': 'a_9', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'a_3', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_2', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
7,RLRAM,2,0,6.734460575251273,p_2,0.5,START,3,b_start,"{'case_type': 'b_3', 'severity': 'b_6', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'p2_END'}",,,
8,RLRAM,2,0,6.745277050878396,p_1,0.5,gateway,1,XOR_1,"{'priority': 'a_3', 'priority2': 'a_18', 'department': 'a_10', 'or_sub_2': 'a_5', 'request_type': 'a_12', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_12', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_3', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
9,RLRAM,2,0,6.745277050878396,p_1,0.5,running,2,a_1,,int1,7.425675674917272,
10,RLRAM,2,0,7.425675674917272,p_1,0.5,gateway,2,XOR_1,"{'priority': 'a_17', 'priority2': 'a_18', 'department': 'a_9', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'a_3', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_2', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
11,RLRAM,2,0,7.425675674917272,p_2,0.5,running,3,b_1,,int1,11.486892053210404,
12,RLRAM,2,0,7.425675674917272,p_1,0.5,running,2,a_3,,int3,7.733043556778748,
13,RLRAM,2,0,7.733043556778748,p_1,0.5,running,2,a_3_1,,int7,10.624355532779873,
14,RLRAM,2,0,7.989599704842307,p_2,0.5,START,4,b_start,"{'case_type': 'b_3', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_12', 'review': 'p2_END'}",,,
15,RLRAM,2,0,8.236334129722222,p_2,0.5,running,0,b_4,,int4,9.288717313537699,
16,RLRAM,2,0,8.236334129722222,p_1,0.5,running,1,a_2,,int2,8.867483982120099,
17,RLRAM,2,0,8.507752375927964,p_2,0.5,START,5,b_start,"{'case_type': 'b_3', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'p2_END'}",,,
18,RLRAM,2,0,8.681230702794698,p_2,0.5,START,6,b_start,"{'case_type': 'b_2', 'severity': 'b_6', 'severity2': 'b_13', 'needs_review': 'b_12', 'review': 'b_17'}",,,
19,RLRAM,2,0,8.867483982120099,p_1,0.5,running,1,a_5,,int5,9.673774404729244,
20,RLRAM,2,0,9.673774404729244,p_1,0.5,gateway,1,XOR_2,"{'priority': 'a_3', 'priority2': 'a_18', 'department': 'a_10', 'or_sub_2': 'a_5', 'request_type': 'a_12', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_12', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_3', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
21,RLRAM,2,0,9.673774404729244,p_1,0.5,running,1,a_8,,int11,10.007571584050426,
22,RLRAM,2,0,9.673774404729244,p_2,0.5,running,0,b_5,,int5,9.77809480979859,
23,RLRAM,2,0,9.754147379759287,p_2,0.5,START,7,b_start,"{'case_type': 'b_3', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'b_18'}",,,
24,RLRAM,2,0,9.77809480979859,p_2,0.5,gateway,0,XOR_b2,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'b_13', 'needs_review': 'b_12', 'review': 'p2_END'}",,,
